prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
神奈川,12,神奈川12区,阿部 知子,あべ ともこ,阿部,知子,あべ,ともこ,69,立憲,NA,前,6,1,1,0,86550,43.2
神奈川,13,神奈川13区,甘利 明,あまり あきら,甘利,明,あまり,あきら,68,自民,公明,前,11,1,1,0,127214,56.14
神奈川,13,神奈川13区,太 栄志,ふとり ひでし,太,栄志,ふとり,ひでし,40,希望,NA,新,0,1,0,0,62779,27.7
神奈川,13,神奈川13区,岡崎 裕,おかざき ゆたか,岡崎,裕,おかざき,ゆたか,39,共産,NA,新,0,1,0,0,36627,16.16
神奈川,14,神奈川14区,本村 賢太郎,もとむら けんたろう,本村,賢太郎,もとむら,けんたろう,47,希望,NA,前,2,1,0,1,94348,41.39
神奈川,14,神奈川14区,中野渡 旬,なかのわたり じゅん,中野渡,旬,なかのわたり,じゅん,69,共産,NA,新,0,0,0,0,27640,12.13
神奈川,14,神奈川14区,赤間 二郎,あかま じろう,赤間,二郎,あかま,じろう,49,自民,公明,前,3,1,1,0,105953,46.48
神奈川,15,神奈川15区,河野 太郎,こうの たろう,河野,太郎,こうの,たろう,54,自民,公明,前,7,1,1,0,159647,67.63
神奈川,15,神奈川15区,佐々木 克己,ささき かつみ,佐々木,克己,ささき,かつみ,62,社民,NA,新,0,1,0,0,38242,16.2
神奈川,15,神奈川15区,乃木 涼介,のぎ りょうすけ,乃木,涼介,のぎ,りょうすけ,53,希望,NA,新,0,1,0,0,38162,16.17
神奈川,16,神奈川16区,義家 弘介,よしいえ ひろゆき,義家,弘介,よしいえ,ひろゆき,46,自民,公明,前,2,1,1,0,110508,46.91
神奈川,16,神奈川16区,後藤 祐一,ごとう ゆういち,後藤,祐一,ごとう,ゆういち,48,希望,NA,前,3,1,0,1,96128,40.81
神奈川,16,神奈川16区,池田 博英,いけだ ひろひで,池田,博英,いけだ,ひろひで,54,共産,NA,新,0,0,0,0,28927,12.28
